2016-01-23 15:58:27,428 PHOTODAY 23
2016-01-23 15:58:27,434 reception radio
2016-01-23 15:58:27,446 capture
2016-01-23 15:58:27,447 PHOTODAY 23
2016-01-23 15:58:27,462 capture
2016-01-23 15:58:27,463 PHOTODAY 23
2016-01-23 15:58:27,478 capture
2016-01-23 15:58:27,479 PHOTODAY 23
2016-01-23 15:58:27,494 capture
2016-01-23 15:58:27,495 PHOTODAY 23
2016-01-23 15:58:27,512 capture
2016-01-23 15:58:27,513 PHOTODAY 23
2016-01-23 15:58:27,528 capture
2016-01-23 15:58:27,529 PHOTODAY 23
2016-01-23 15:58:27,545 capture
2016-01-23 15:58:27,546 PHOTODAY 23
2016-01-23 15:58:27,561 capture
2016-01-23 15:58:27,562 PHOTODAY 23
2016-01-23 15:58:27,577 capture
2016-01-23 15:58:27,578 PHOTODAY 23
2016-01-23 15:58:27,593 capture
2016-01-23 15:58:27,594 PHOTODAY 23
2016-01-23 15:58:27,613 capture
2016-01-23 15:58:27,614 PHOTODAY 23
2016-01-23 15:58:27,629 capture
2016-01-23 15:58:27,630 PHOTODAY 23
2016-01-23 15:58:27,645 capture
2016-01-23 15:58:27,646 PHOTODAY 23
2016-01-23 15:58:27,665 capture
2016-01-23 15:58:27,666 PHOTODAY 23
2016-01-23 15:58:27,682 capture
2016-01-23 15:58:27,683 PHOTODAY 23
2016-01-23 15:58:27,699 capture
2016-01-23 15:58:27,700 PHOTODAY 23
2016-01-23 15:58:27,715 capture
2016-01-23 15:58:27,716 PHOTODAY 23
2016-01-23 15:58:27,731 capture
2016-01-23 15:58:27,732 PHOTODAY 23
2016-01-23 15:58:27,747 capture
2016-01-23 15:58:27,748 PHOTODAY 23
2016-01-23 15:58:27,764 capture
2016-01-23 15:58:27,765 PHOTODAY 23
2016-01-23 15:58:27,780 capture
2016-01-23 15:58:27,781 PHOTODAY 23
2016-01-23 15:58:27,796 capture
2016-01-23 15:58:27,797 PHOTODAY 23
2016-01-23 15:58:27,815 capture
2016-01-23 15:58:27,815 PHOTODAY 23
2016-01-23 15:58:27,831 capture
2016-01-23 15:58:27,832 PHOTODAY 23
2016-01-23 15:58:27,847 capture
2016-01-23 15:58:27,848 PHOTODAY 23
2016-01-23 15:58:27,864 capture
2016-01-23 15:58:27,865 PHOTODAY 23
2016-01-23 15:58:27,880 capture
2016-01-23 15:58:27,881 PHOTODAY 23
2016-01-23 15:58:27,896 capture
2016-01-23 15:58:27,897 PHOTODAY 23
2016-01-23 15:58:27,915 capture
2016-01-23 15:58:27,916 PHOTODAY 23
2016-01-23 15:58:27,932 capture
2016-01-23 15:58:27,933 PHOTODAY 23
2016-01-23 15:58:27,948 capture
2016-01-23 15:58:27,949 PHOTODAY 23
2016-01-23 15:58:27,965 capture
2016-01-23 15:58:27,966 PHOTODAY 23
2016-01-23 15:58:27,982 capture
2016-01-23 15:58:27,983 PHOTODAY 23
2016-01-23 15:58:27,998 capture
2016-01-23 15:58:27,999 PHOTODAY 23
2016-01-23 15:58:28,016 capture
2016-01-23 15:58:28,017 PHOTODAY 23
2016-01-23 15:58:28,032 capture
2016-01-23 15:58:28,033 PHOTODAY 23
2016-01-23 15:58:28,049 capture
2016-01-23 15:58:28,050 PHOTODAY 23
2016-01-23 15:58:28,066 capture
2016-01-23 15:58:28,067 PHOTODAY 23
2016-01-23 15:58:28,082 capture
2016-01-23 15:58:28,083 PHOTODAY 23
2016-01-23 15:58:28,098 capture
2016-01-23 15:58:28,099 PHOTODAY 23
2016-01-23 15:58:28,116 capture
2016-01-23 15:58:28,117 PHOTODAY 23
2016-01-23 15:58:28,132 capture
2016-01-23 15:58:28,133 PHOTODAY 23
2016-01-23 15:58:28,149 capture
2016-01-23 15:58:28,150 PHOTODAY 23
2016-01-23 15:58:28,165 capture
2016-01-23 15:58:28,166 PHOTODAY 23
2016-01-23 15:58:28,181 capture
2016-01-23 15:58:28,182 PHOTODAY 23
2016-01-23 15:58:28,197 capture
2016-01-23 15:58:28,198 PHOTODAY 23
2016-01-23 15:58:28,215 capture
2016-01-23 15:58:28,216 PHOTODAY 23
2016-01-23 15:58:28,231 capture
2016-01-23 15:58:28,232 PHOTODAY 23
2016-01-23 15:58:28,247 capture
2016-01-23 15:58:28,248 PHOTODAY 23
2016-01-23 15:58:28,263 capture
2016-01-23 15:58:28,264 PHOTODAY 23
2016-01-23 15:58:28,279 capture
2016-01-23 15:58:28,280 PHOTODAY 23
2016-01-23 15:58:28,295 capture
2016-01-23 15:58:28,296 PHOTODAY 23
2016-01-23 15:58:28,312 capture
2016-01-23 15:58:28,313 PHOTODAY 23
2016-01-23 15:58:28,328 capture
2016-01-23 15:58:28,329 PHOTODAY 23
2016-01-23 15:58:28,344 capture
2016-01-23 15:58:28,345 PHOTODAY 23
2016-01-23 15:58:28,361 capture
2016-01-23 15:58:28,362 PHOTODAY 23
2016-01-23 15:58:28,377 capture
2016-01-23 15:58:28,378 PHOTODAY 23
2016-01-23 15:58:28,393 capture
2016-01-23 15:58:28,394 PHOTODAY 23
2016-01-23 15:58:28,409 capture
2016-01-23 15:58:28,410 PHOTODAY 23
2016-01-23 15:58:28,425 capture
2016-01-23 15:58:28,426 PHOTODAY 23
2016-01-23 15:58:28,443 capture
2016-01-23 15:58:28,445 PHOTODAY 23
2016-01-23 15:58:28,454 reception radio
2016-01-23 15:58:28,461 capture
2016-01-23 15:58:28,462 PHOTODAY 23
2016-01-23 15:58:28,477 capture
2016-01-23 15:58:28,478 PHOTODAY 23
2016-01-23 15:58:28,494 capture
2016-01-23 15:58:28,495 PHOTODAY 23
2016-01-23 15:58:28,511 capture
2016-01-23 15:58:28,512 PHOTODAY 23
2016-01-23 15:58:28,528 capture
2016-01-23 15:58:28,529 PHOTODAY 23
2016-01-23 15:58:28,544 capture
2016-01-23 15:58:28,545 PHOTODAY 23
2016-01-23 15:58:28,564 capture
2016-01-23 15:58:28,565 PHOTODAY 23
2016-01-23 15:58:28,597 capture
2016-01-23 15:58:28,598 PHOTODAY 23
2016-01-23 15:58:28,614 capture
2016-01-23 15:58:28,615 PHOTODAY 23
2016-01-23 15:58:28,632 capture
2016-01-23 15:58:28,633 PHOTODAY 23
2016-01-23 15:58:28,648 capture
2016-01-23 15:58:28,649 PHOTODAY 23
2016-01-23 15:58:28,665 capture
2016-01-23 15:58:28,666 PHOTODAY 23
2016-01-23 15:58:28,682 capture
2016-01-23 15:58:28,683 PHOTODAY 23
2016-01-23 15:58:28,698 capture
2016-01-23 15:58:28,699 PHOTODAY 23
2016-01-23 15:58:28,715 capture
2016-01-23 15:58:28,716 PHOTODAY 23
2016-01-23 15:58:28,734 capture
2016-01-23 15:58:28,735 PHOTODAY 23
2016-01-23 15:58:28,750 capture
2016-01-23 15:58:28,751 PHOTODAY 23
2016-01-23 15:58:28,766 capture
2016-01-23 15:58:28,768 PHOTODAY 23
2016-01-23 15:58:28,784 capture
2016-01-23 15:58:28,785 PHOTODAY 23
2016-01-23 15:58:28,800 capture
2016-01-23 15:58:28,801 PHOTODAY 23
2016-01-23 15:58:28,816 capture
2016-01-23 15:58:28,817 PHOTODAY 23
2016-01-23 15:58:28,836 capture
2016-01-23 15:58:28,837 PHOTODAY 23
2016-01-23 15:58:28,852 capture
2016-01-23 15:58:28,853 PHOTODAY 23
2016-01-23 15:58:28,868 capture
2016-01-23 15:58:28,870 PHOTODAY 23
2016-01-23 15:58:28,886 capture
2016-01-23 15:58:28,887 PHOTODAY 23
2016-01-23 15:58:28,902 capture
2016-01-23 15:58:28,903 PHOTODAY 23
2016-01-23 15:58:28,918 capture
2016-01-23 15:58:28,919 PHOTODAY 23
2016-01-23 15:58:28,938 capture
2016-01-23 15:58:28,939 PHOTODAY 23
2016-01-23 15:58:28,954 capture
2016-01-23 15:58:28,955 PHOTODAY 23
2016-01-23 15:58:28,971 capture
2016-01-23 15:58:28,972 PHOTODAY 23
2016-01-23 15:58:28,987 capture
2016-01-23 15:58:28,988 PHOTODAY 23
2016-01-23 15:58:29,003 capture
2016-01-23 15:58:29,004 PHOTODAY 23
2016-01-23 15:58:29,019 capture
2016-01-23 15:58:29,020 PHOTODAY 23
2016-01-23 15:58:29,035 capture
2016-01-23 15:58:29,036 PHOTODAY 23
2016-01-23 15:58:29,051 capture
2016-01-23 15:58:29,052 PHOTODAY 23
2016-01-23 15:58:29,068 capture
2016-01-23 15:58:29,069 PHOTODAY 23
2016-01-23 15:58:29,084 capture
2016-01-23 15:58:29,085 PHOTODAY 23
2016-01-23 15:58:29,100 capture
2016-01-23 15:58:29,101 PHOTODAY 23
2016-01-23 15:58:29,116 capture
2016-01-23 15:58:29,117 PHOTODAY 23
2016-01-23 15:58:29,133 capture
2016-01-23 15:58:29,134 PHOTODAY 23
2016-01-23 15:58:29,149 capture
2016-01-23 15:58:29,150 PHOTODAY 23
2016-01-23 15:58:29,165 capture
2016-01-23 15:58:29,166 PHOTODAY 23
2016-01-23 15:58:29,182 capture
2016-01-23 15:58:29,183 PHOTODAY 23
2016-01-23 15:58:29,198 capture
2016-01-23 15:58:29,199 PHOTODAY 23
2016-01-23 15:58:29,214 capture
2016-01-23 15:58:29,215 PHOTODAY 23
2016-01-23 15:58:29,232 capture
2016-01-23 15:58:29,233 PHOTODAY 23
2016-01-23 15:58:29,248 capture
2016-01-23 15:58:29,249 PHOTODAY 23
2016-01-23 15:58:29,264 capture
2016-01-23 15:58:29,265 PHOTODAY 23
2016-01-23 15:58:29,281 capture
2016-01-23 15:58:29,282 PHOTODAY 23
2016-01-23 15:58:29,297 capture
2016-01-23 15:58:29,298 PHOTODAY 23
2016-01-23 15:58:29,313 capture
2016-01-23 15:58:29,314 PHOTODAY 23
2016-01-23 15:58:29,332 capture
2016-01-23 15:58:29,333 PHOTODAY 23
2016-01-23 15:58:29,348 capture
2016-01-23 15:58:29,349 PHOTODAY 23
2016-01-23 15:58:29,364 capture
2016-01-23 15:58:29,365 PHOTODAY 23
2016-01-23 15:58:29,381 capture
2016-01-23 15:58:29,382 PHOTODAY 23
2016-01-23 15:58:29,398 capture
2016-01-23 15:58:29,399 PHOTODAY 23
2016-01-23 15:58:29,414 capture
2016-01-23 15:58:29,415 PHOTODAY 23
2016-01-23 15:58:29,433 capture
2016-01-23 15:58:29,434 PHOTODAY 23
2016-01-23 15:58:29,450 capture
2016-01-23 15:58:29,451 PHOTODAY 23
2016-01-23 15:58:29,467 reception radio
2016-01-23 15:58:29,468 capture
2016-01-23 15:58:29,469 PHOTODAY 23
2016-01-23 15:58:29,485 capture
2016-01-23 15:58:29,486 PHOTODAY 23
2016-01-23 15:58:29,502 capture
2016-01-23 15:58:29,503 PHOTODAY 23
2016-01-23 15:58:29,519 capture
2016-01-23 15:58:29,519 PHOTODAY 23
2016-01-23 15:58:29,536 capture
2016-01-23 15:58:29,537 PHOTODAY 23
2016-01-23 15:58:29,552 capture
2016-01-23 15:58:29,553 PHOTODAY 23
2016-01-23 15:58:29,568 capture
2016-01-23 15:58:29,569 PHOTODAY 23
2016-01-23 15:58:29,584 capture
2016-01-23 15:58:29,585 PHOTODAY 23
2016-01-23 15:58:29,601 capture
2016-01-23 15:58:29,602 PHOTODAY 23
2016-01-23 15:58:29,617 capture
2016-01-23 15:58:29,618 PHOTODAY 23
2016-01-23 15:58:29,633 capture
2016-01-23 15:58:29,634 PHOTODAY 23
2016-01-23 15:58:29,649 capture
2016-01-23 15:58:29,650 PHOTODAY 23
2016-01-23 15:58:29,665 capture
2016-01-23 15:58:29,666 PHOTODAY 23
2016-01-23 15:58:29,682 capture
2016-01-23 15:58:29,683 PHOTODAY 23
2016-01-23 15:58:29,698 capture
2016-01-23 15:58:29,699 PHOTODAY 23
2016-01-23 15:58:29,714 capture
2016-01-23 15:58:29,715 PHOTODAY 23
2016-01-23 15:58:29,732 capture
2016-01-23 15:58:29,733 PHOTODAY 23
2016-01-23 15:58:29,749 capture
2016-01-23 15:58:29,750 PHOTODAY 23
2016-01-23 15:58:29,765 capture
2016-01-23 15:58:29,766 PHOTODAY 23
2016-01-23 15:58:29,781 capture
2016-01-23 15:58:29,782 PHOTODAY 23
2016-01-23 15:58:29,798 capture
2016-01-23 15:58:29,799 PHOTODAY 23
2016-01-23 15:58:29,814 capture
2016-01-23 15:58:29,815 PHOTODAY 23
2016-01-23 15:58:29,832 capture
2016-01-23 15:58:29,833 PHOTODAY 23
2016-01-23 15:58:29,849 capture
2016-01-23 15:58:29,850 PHOTODAY 23
2016-01-23 15:58:29,865 capture
2016-01-23 15:58:29,866 PHOTODAY 23
2016-01-23 15:58:29,882 capture
2016-01-23 15:58:29,883 PHOTODAY 23
2016-01-23 15:58:29,898 capture
2016-01-23 15:58:29,899 PHOTODAY 23
2016-01-23 15:58:29,914 capture
2016-01-23 15:58:29,915 PHOTODAY 23
2016-01-23 15:58:29,930 capture
2016-01-23 15:58:29,931 PHOTODAY 23
2016-01-23 15:58:29,946 capture
2016-01-23 15:58:29,947 PHOTODAY 23
2016-01-23 15:58:29,963 capture
2016-01-23 15:58:29,964 PHOTODAY 23
2016-01-23 15:58:29,980 capture
2016-01-23 15:58:29,981 PHOTODAY 23
2016-01-23 15:58:29,996 capture
2016-01-23 15:58:29,997 PHOTODAY 23
2016-01-23 15:58:30,013 capture
2016-01-23 15:58:30,014 PHOTODAY 23
2016-01-23 15:58:30,029 capture
2016-01-23 15:58:30,030 PHOTODAY 23
2016-01-23 15:58:30,046 capture
2016-01-23 15:58:30,047 PHOTODAY 23
2016-01-23 15:58:30,062 capture
2016-01-23 15:58:30,063 PHOTODAY 23
2016-01-23 15:58:30,078 capture
2016-01-23 15:58:30,079 PHOTODAY 23
2016-01-23 15:58:30,094 capture
2016-01-23 15:58:30,095 PHOTODAY 23
2016-01-23 15:58:30,111 capture
2016-01-23 15:58:30,112 PHOTODAY 23
2016-01-23 15:58:30,127 capture
2016-01-23 15:58:30,128 PHOTODAY 23
2016-01-23 15:58:30,143 capture
2016-01-23 15:58:30,144 PHOTODAY 23
2016-01-23 15:58:30,159 capture
2016-01-23 15:58:30,160 PHOTODAY 23
2016-01-23 15:58:30,175 capture
2016-01-23 15:58:30,176 PHOTODAY 23
2016-01-23 15:58:30,192 capture
2016-01-23 15:58:30,193 PHOTODAY 23
2016-01-23 15:58:30,208 capture
2016-01-23 15:58:30,210 PHOTODAY 23
2016-01-23 15:58:30,225 capture
2016-01-23 15:58:30,226 PHOTODAY 23
2016-01-23 15:58:30,242 capture
2016-01-23 15:58:30,243 PHOTODAY 23
2016-01-23 15:58:30,259 capture
2016-01-23 15:58:30,260 PHOTODAY 23
2016-01-23 15:58:30,275 capture
2016-01-23 15:58:30,276 PHOTODAY 23
2016-01-23 15:58:30,292 capture
